STORE_CODE,CITY,STATE,ZIP_CODE,OPEN_DATE,REVENUE,CUST_CNT,TRANS_CNT,FUTURE_REV,PLATINUM_PCT,GOLD_PCT,SILVER_PCT,BRONZE_PCT,MEDIUM_PCT,LOW_PCT,NEW_CNT,REACTIVATED_CNT,CONTINUING_CNT,NEW_PCT,REACTIVATED_PCT,CONTINUING_PCT,ONLINE_REVENUE,ONLINE_CUST_CNT,ONLINE_TRANS_CNT,ONLINE_FUTURE_REV,ONLINE_LESSTHAN5,ONLINE_BT5AND10,ONLINE_BT10AND15,ONLINE_BT15AND20,ONLINE_BT20AND25,ONLINE_BT25AND30,ONLINE_MORETHAN30,MAPPED_ZP_HHSIZE_AVG,MAPPED_ZP_AGE_MEDIAN,MAPPED_ZP_MALE_PERCENT,MAPPED_ZP_FEMALE_PERCENT,MAPPED_ZP_MARRIED_PERCENT,MAPPED_ZP_SINGLE_PERCENT,MAPPED_ZP_HHINCOME_MEDIAN,MAPPED_ZP_POPULATION,MAPPED_ZP_HISPANIC,MAPPED_ZP_WHITE,MAPPED_ZP_AFRICAN_AMERICAN,MAPPED_ZP_AM_IN_ALSK_NAT,MAPPED_ZP_ASIAN,MAPPED_ZP_NAT_HAW_PAC_ISLANDER,MAPPED_ZP_TWOPLUS_RACES,MAPPED_ZP_OTHER_RACE,STORE_SIZE,STORE_MALL_TYPE,STORE_MALL_SUBTYPE,CLIMATE_Q1,CLIMATE_Q2,CLIMATE_Q3,CLIMATE_Q4,STORE_LAUNCH
1718,Bridgewater,NJ,08807,11/20/2007,2826466.845,14246,22424,11138691.14,9.21,19.38,14.84,28.55,15.37,12.66,5042,2414,7230,34.33,16.44,49.23,6278608.65,10788,32263,4221839.085,2030,3915,2646,625,260,201,1111,2.707962963,43.23454545,0.51184276,0.48815724,0.534963636,0.465036364,95522.41678,12415.64286,1921.839286,7236.589286,1137.696429,15.58928571,1887.267857,2.785714286,178.125,35.75,5439,Mall,A-,COLD,HOT,COLD,COLD,2007
1720,Burlington,MA,01803,10/23/2007,5665133.025,25933,42242,16852895.13,7.67,18.56,13.86,26.49,18.03,15.37,10152,4333,12385,37.78,16.13,46.09,8328378.45,14341,42278,6037569.915,4590,3150,2101,780,1049,665,2006,2.705538462,41.86615385,0.501262028,0.498737972,0.546169231,0.453830769,89491.07503,17640.83077,2250.769231,13017.47692,478.3076923,17.81538462,1496.892308,3.430769231,319.2615385,56.87692308,7202,Mall,A,COLD,HOT,COLD,COLD,2007
1722,Hingham,MA,02043,12/4/2007,3523529.325,13517,24790,11028371.27,10.01,21.77,14.65,24.62,15.61,13.34,4401,2190,7595,31.02,15.44,53.54,5509436.46,8785,27481,4569120.165,2700,3180,1497,1091,294,23,0,2.592222222,45.91666667,0.488891822,0.511108178,0.5515,0.4485,85967.91346,12892.72222,229.0555556,12120,136.9444444,5.888888889,158.9444444,3.777777778,184.5,53.61111111,5111,Lifestyle,Hybrid,COLD,HOT,COLD,COLD,2007
1723,Glendale,CA,91210,5/2/2008,5091578.58,26562,40352,12647591.09,5.21,15.12,11.54,24.5,20.33,23.3,13001,3671,10661,47.57,13.43,39,6582070.62,12242,32589,5442918.39,9531,2622,1,0,1,5,82,3.008611111,38.14871795,0.510145956,0.489854044,0.408102564,0.591897436,60487.36267,29892.48889,14515.95556,6539.577778,3083.8,72.42222222,4667.822222,225.2666667,731.6666667,55.97777778,6444,Lifestyle,Hybrid,COLD,HOT,COLD,COLD,2008
1725,Honolulu,HI,96814,3/7/2008,4625804.4,22640,34042,5431331.55,2,7.85,8.61,24.54,20.61,36.38,13121,3462,6270,57.41,15.15,27.44,3034224.015,6311,17569,2204736.345,2506,1169,768,305,51,103,1409,3.201034483,39.15666667,0.521327464,0.478672536,0.494166667,0.505833333,71047.63695,32811.93333,3138.566667,6059.733333,691.1333333,30.26666667,13789.8,2881.633333,6193.933333,26.86666667,6577,Mall,Top Tier,HOT,HOT,HOT,HOT,2008
1726,Little Rock,AR,72223,9/19/2011,1496882.655,6481,10726,2736294.9,4.11,14.38,13.31,31.71,19.52,16.96,3017,1217,2476,44.96,18.14,36.9,2886452.115,5990,14396,2044941.495,1173,1163,544,218,193,118,2581,2.541627907,39.32,0.496241537,0.503758463,0.476866667,0.523133333,48829.56578,14228.91304,768.8695652,9275.956522,3551.826087,33.30434783,247.5,7.739130435,313.326087,30.39130435,5714,Lifestyle,Suburban Specialty,COLD,HOT,COLD,COLD,2011
1728,Southampton,NY,11968,11/13/2007,2021738.16,7496,12667,8510673.87,15.45,22.97,14.91,21.96,14.51,10.19,2303,1114,4335,29.71,14.37,55.92,1745745.315,2992,8587,1365567.06,718,801,470,304,497,202,0,2.547941176,45.65714286,0.482215338,0.517784662,0.520888889,0.479111111,82478.67317,6421.916667,1047.944444,4703.944444,400.0833333,19.83333333,154.7777778,0,82.11111111,13.22222222,3700,Street,Small Town Main Streets,COLD,HOT,COLD,COLD,2007
1732,New York,NY,10075,10/9/2008,3613841.91,11227,18025,18178254.53,22.52,27.2,13.99,17.91,9.74,8.64,2581,1709,7451,21.98,14.56,63.46,15826179.89,22169,69856,11784622.2,20476,1693,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3466,Street,Metro Area Street,COLD,HOT,COLD,COLD,2008
1733,St Louis,MO,63117,10/28/2008,2147841.78,11997,17797,7218026.385,6.94,17.19,13.36,28.81,18.25,15.45,5166,1940,5329,41.54,15.6,42.85,6356483.745,12232,33336,4240052.565,5713,1206,504,396,1043,154,3216,2.387078652,37.56404494,0.483834409,0.516165591,0.397382022,0.602617978,47964.02497,15842.24444,518.4555556,9341.111111,5209.611111,30.18888889,335.4,4.866666667,367.5333333,35.07777778,5230,Mall,A-,COLD,HOT,COLD,COLD,2008
1738,Roseville,MN,55113,9/30/2008,1894367.325,10529,15540,5508175.71,5.59,15.69,13.81,28.09,19.53,17.28,4625,1881,4352,42.6,17.32,40.08,5905166.82,11732,31583,4023817.11,2637,3130,1340,958,321,237,3109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mall,A-,COLD,HOT,COLD,COLD,2008
